rank,code,country,value,year
147,SOM,"Somalia, Fed. Rep.",14174000000,2026
148,GNQ,Equatorial Guinea,13722000000,2026
149,TGO,Togo,13437000000,2026
150,MNE,Montenegro,10227000000,2026
151,LIE,Liechtenstein,9442000000,2026
152,BRB,Barbados,8483000000,2026
153,SLE,Sierra Leone,8270000000,2026
154,BDI,Burundi,8137000000,2026
155,MDV,Maldives,8130000000,2026
156,YEM,"Yemen, Rep.",7435000000,2026
157,FJI,Fiji,6352000000,2026
158,SSD,South Sudan,6069000000,2026
159,SUR,Suriname,5908000000,2026
160,SWZ,Eswatini,5792000000,2026
161,LBR,Liberia,5642000000,2026
162,AND,Andorra,4879000000,2026
163,DJI,Djibouti,4725000000,2026
164,ABW,Aruba,4671000000,2026
165,BTN,Bhutan,3856000000,2026
166,CAF,Central African Republic,3492000000,2026
167,BLZ,Belize,3450000000,2026
168,CPV,Cabo Verde,3448000000,2026
169,GNB,Guinea-Bissau,2985000000,2026
170,LSO,Lesotho,2972000000,2026
171,GMB,"Gambia, The",2792000000,2026
172,LCA,St. Lucia,2765000000,2026
173,SMR,San Marino,2417000000,2026
174,ATG,Antigua and Barbuda,2385000000,2026
175,SYC,Seychelles,2251000000,2026
176,TLS,Timor-Leste,2170000000,2026
177,SLB,Solomon Islands,1836000000,2026
178,COM,Comoros,1814000000,2026
179,GRD,Grenada,1483000000,2026
180,VUT,Vanuatu,1396000000,2026
181,WSM,Samoa,1376000000,2026
182,VCT,St. Vincent and the Grenadines,1236000000,2026
183,STP,Sao Tome and Principe,1161000000,2026
184,KNA,St. Kitts and Nevis,1143000000,2026
185,DMA,Dominica,791000000,2026
186,TON,Tonga,716000000,2026
187,FSM,"Micronesia, Fed. Sts.",521000000,2026
188,KIR,Kiribati,401000000,2026
189,PLW,Palau,377000000,2026
190,MHL,Marshall Islands,342000000,2026
191,NRU,Naoero,196000000,2026
192,TUV,Tuvalu,65000000,2026
